firm,size,year,treshold,ROA3,ROA,FL,ETL,ROA2,ETLL,PPD,ROE,ROC,BVnK2,BVnK,GPM,PpDRG,RGSiD,NPA,RK,DAA,IADMA,IADMA2,KZP,KZP2,DZP,DZP2,ZFPP,IiPKKCHoSP,AR,ADA,AAA,RnSK,RnP,RnBA,EnR,OEnP,EnS,PPP,PPA,PPD,EDMA,EDMA2,OL,OL2,BL,NL,AL,AL2,PoOK,PoOK2,FM,VzGnSoD,FA,FLL,PnKZ,FS,OKP,InPoP,PRnK,OPnL,OPP,LP,DDkSK,ODA2,OKA,OKA2,ZnS,OnA2,OnB,SSnD,KSnDpDP,KSOLP,SSOLP,Unempoyment,Inlation,GDPgrove,GP,GP.index,EGP,KPEE
6,2,2010,700,0.076661,0.049905,0.564381,0.133971,0.048331,0.195703,0.128339,0.108844,0.084257,0.084257,0.053119,0.046840,0.053549,2.475294,0.069149,-0.113892,0.961827,0.585231,0.574561,0.282230,0.162139,0.717770,0.837861,0.791521,0.189305,0.020064,0.414769,0.398936,0.103121,0.088269,0.047559,1.049142,0.067973,2.708667,0.062306,0.070270,0.128339,1.153871,1.152372,0.251029,0.236332,0.251029,0.209877,0.020576,0.038801,-0.102622,-0.061037,-0.246947,1.129276,0.461202,0.537351,1.057613,0.881588,-0.211382,0.160668,5.576132,0.369403,0.293769,0.057491,0.838535,1.152372,29.073770,52.940299,0.867776,1.127822,0.031576,1.477377,1.472760,0.180000,0.200000,10.300000,2.438991,0.024457,-0.011877,1.000000,2.630467,0.998044
6,2,2009,700,0.056957,0.076661,0.537351,0.195703,0.028901,0.152676,0.092958,0.069831,0.061848,0.061848,0.031382,0.029195,0.035522,2.049031,0.041694,-0.022301,0.996122,0.563920,0.534445,0.045634,0.134903,0.954366,0.865097,0.954366,-0.146814,0.023086,0.436080,0.434389,0.067475,0.050141,0.028765,1.030073,0.057395,2.233102,0.053992,0.053580,0.092958,0.991564,1.039633,0.148148,0.574949,0.148148,-0.148148,0.148148,0.158111,-0.022579,-0.033868,-0.052312,1.063563,0.426309,0.572031,2.814815,0.977612,-0.038873,0.262810,37.197531,0.492308,0.354244,0.054085,1.284306,1.039633,254.666667,21.828571,0.961878,0.992369,0.000000,1.406695,1.364090,0.550000,2.405833,6.800000,2.753202,0.003161,0.115528,1.012020,2.521749,0.989960
6,2,2008,700,0.036781,0.056957,0.572031,0.152676,0.008494,0.093733,0.052316,0.016393,0.040420,0.040420,0.009335,0.005889,0.009503,1.831855,0.035563,-0.045024,0.912561,0.501966,0.343700,0.221253,0.186866,0.778747,0.813134,0.778747,-0.892904,0.020463,0.498034,0.454486,0.016260,0.010899,0.006525,1.005924,0.035785,1.698842,0.039669,0.040773,0.052316,0.865213,1.114950,0.660099,0.867925,0.660099,0.339901,0.160099,0.179245,-0.057025,-0.011570,-0.112195,1.292525,0.401305,0.590000,1.783251,0.950661,-0.075204,0.588969,6.549261,0.770833,0.430233,0.040327,1.161789,1.114950,9.029851,13.152174,0.896901,1.027819,0.083884,1.337227,1.387310,5.770000,5.117500,5.600000,12.348720,0.146414,0.330241,0.907212,2.907131,1.055668
6,2,2007,700,0.048098,0.036781,0.590000,0.093733,0.028221,0.370968,0.276498,0.038753,0.051393,0.051393,0.030154,0.031657,0.038842,1.322284,0.038321,0.049878,0.939173,0.056995,0.028637,0.041475,0.235892,0.958525,0.764108,0.958525,-0.349887,0.047436,0.943005,0.885645,0.038017,0.105991,0.027981,1.032692,0.051477,1.020436,0.078792,0.073620,0.276498,0.986399,0.991214,5.555556,0.894737,5.555556,4.333333,0.611111,0.148325,0.053841,-0.007223,0.067769,1.096677,0.736010,0.259032,8.888889,1.053109,0.188940,9.431507,90.333333,0.413793,0.223602,0.082949,0.343802,0.991214,15.230000,16.288770,1.008864,0.934356,0.058437,1.429038,1.331220,4.580000,3.924167,6.900000,8.402534,0.192506,0.069444,0.681991,3.778226,1.000000
7,2,2014,700,0.021634,0.034421,0.687788,0.111184,-0.006142,0.096980,0.053339,-0.019675,0.059251,0.061305,-0.016888,-0.006830,-0.008099,0.944599,0.000000,-0.563969,0.874962,0.229068,0.277494,0.991404,0.922991,0.008596,0.077009,0.608993,-0.104688,0.040858,0.761996,0.666718,-0.019871,-0.008816,-0.006107,0.993217,0.023162,1.512972,0.038603,0.037156,0.053339,1.100404,1.086576,0.178746,0.169891,0.161627,0.104936,0.028235,0.024184,-0.589249,-0.547535,-1.835072,0.987027,0.307328,0.686595,-0.021787,0.358053,-0.814194,-0.003972,0.456203,1.272152,0.482014,0.044302,0.019374,1.080676,7.797264,8.923843,0.925347,0.963942,0.095550,1.474000,1.483000,0.020000,0.035000,11.400000,-1.418184,0.017866,-0.042470,1.288486,2.197621,1.018173
7,2,2013,700,0.011946,0.022294,0.686595,0.096980,-0.013375,0.075288,0.035948,-0.041498,0.025480,0.028684,-0.028586,-0.014708,-0.017518,1.037561,0.000000,-0.489654,0.906578,0.324718,0.314109,0.852815,0.783802,0.147185,0.216198,0.518652,0.096416,0.036539,0.669733,0.607165,-0.042377,-0.019670,-0.013434,0.985505,0.013870,1.561980,0.025262,0.024445,0.035948,1.077371,1.066057,0.159332,0.165412,0.140509,0.101803,0.019353,0.018234,-0.503813,-0.458135,-1.544569,1.102627,0.317017,0.679369,0.209173,0.460569,-0.716934,-0.125226,0.716861,2.103448,0.556231,0.041375,0.317097,1.061920,10.472546,11.013123,0.941690,0.968531,0.072609,1.473555,1.419020,0.020000,0.018333,12.900000,0.890094,0.001536,-0.065055,1.345635,2.227299,1.014518
7,2,2012,700,0.066914,0.013421,0.679369,0.075288,0.035291,0.168450,0.109492,0.112537,0.120653,0.120872,0.063749,0.034031,0.042263,1.033962,-0.011021,-0.397367,0.915812,0.303721,0.282811,0.714318,0.648889,0.285682,0.351111,0.618939,0.089976,0.032385,0.692462,0.634165,0.106542,0.051901,0.034900,1.035230,0.060083,1.692742,0.066852,0.074452,0.109492,1.206001,1.208330,0.172721,0.169244,0.141173,0.107393,0.016890,0.018419,-0.360806,-0.332245,-1.213084,1.105062,0.327568,0.669753,0.253983,0.567441,-0.590940,0.219905,1.081899,0.466119,0.312672,0.051673,0.586449,1.205799,13.274908,14.774127,0.829326,1.114813,0.054204,1.522050,1.483600,0.030000,0.113333,12.300000,2.954568,0.015862,0.249542,1.439266,1.996101,1.024021
7,2,2011,700,0.042852,0.066914,0.669753,0.168450,0.011051,0.120867,0.068365,0.037836,0.068262,0.068330,0.017622,0.012949,0.015870,0.989650,-0.022386,-0.342048,0.931590,0.261821,0.285571,0.584674,0.525836,0.415326,0.474164,0.696604,-0.024626,0.038858,0.735171,0.684878,0.037134,0.015862,0.011115,1.013119,0.046677,1.382722,0.051882,0.047630,0.068365,0.992428,0.983246,0.165075,0.172277,0.108903,0.068399,0.020252,0.021744,-0.370465,-0.335622,-1.142782,1.028246,0.299311,0.698185,0.076806,0.633675,-0.488159,0.172798,1.440963,0.741830,0.420370,0.050715,0.972280,0.981609,13.652778,14.315534,1.018735,0.918620,0.039335,1.406451,1.511580,0.220000,0.195000,11.300000,4.219903,0.080085,0.151835,1.151835,2.181925,1.043590
7,2,2010,700,0.030761,0.042852,0.698185,0.120867,0.002355,0.095887,0.054762,0.008181,0.041672,0.041725,0.003195,0.000747,0.000972,0.987992,-0.024454,-0.274570,0.938864,0.308887,0.314497,0.468831,0.367696,0.531169,0.632304,0.650649,0.056670,0.044274,0.688427,0.646340,0.008148,0.003247,0.002322,1.000747,0.038954,1.227034,0.050308,0.039727,0.054762,0.830690,0.837051,0.180979,0.203298,0.149123,0.102031,0.023546,0.019490,-0.352754,-0.264168,-0.963607,1.092101,0.284940,0.712793,0.236842,0.708045,-0.383983,0.080808,1.982918,0.980488,0.454751,0.043506,1.332971,0.834897,12.829082,14.834808,1.197753,0.790413,0.054086,1.477377,1.472760,0.180000,0.200000,10.300000,2.438991,0.024457,-0.011877,1.000000,2.630467,0.998044
7,2,2009,700,0.045193,0.030761,0.712793,0.095887,0.011568,0.119551,0.065393,0.041364,0.058784,0.058862,0.015067,0.015329,0.022707,0.820046,-0.032664,-0.140695,0.952996,0.320195,0.400017,0.262697,0.320964,0.737303,0.679036,0.733258,0.020616,0.044039,0.677479,0.645634,0.040526,0.016629,0.011791,1.015567,0.062132,1.307022,0.062540,0.045490,0.065393,0.780443,0.778289,0.244654,0.261325,0.205304,0.181352,0.011976,0.018932,-0.189770,-0.234795,-0.483571,1.108818,0.290950,0.708400,0.464500,0.853871,-0.198427,0.171450,4.368691,0.758730,0.450943,0.053708,1.796824,0.774983,16.269231,12.038810,1.290350,0.728112,0.048571,1.406695,1.364090,0.550000,2.405833,6.800000,2.753202,0.003161,0.115528,1.012020,2.521749,0.989960
7,2,2008,700,0.006320,0.045193,0.708400,0.119551,-0.032599,0.062316,0.008812,-0.105946,0.008286,0.012709,-0.042874,-0.037549,-0.068694,1.044790,-0.001381,-0.199755,0.924670,0.479399,0.489131,0.375367,0.342703,0.624633,0.657297,0.704574,-0.248889,0.040691,0.517505,0.478521,-0.111872,-0.041125,-0.030071,0.963810,0.014627,1.443839,0.010574,0.006985,0.008812,0.662552,0.728607,0.272219,0.361023,0.240358,0.193404,0.023477,0.056432,-0.327795,-0.229481,-0.743151,1.079681,0.268794,0.729463,0.201230,0.784636,-0.273185,0.357949,2.643376,4.406780,0.912281,0.054553,1.699201,0.724421,8.156057,7.712621,1.380413,0.662221,0.097684,1.337227,1.387310,5.770000,5.117500,5.600000,12.348720,0.146414,0.330241,0.907212,2.907131,1.055668
7,2,2007,700,-0.034646,0.009663,0.729463,0.062316,-0.057887,0.018545,-0.013206,-0.129172,-0.041699,-0.038716,-0.069897,-0.060873,-0.128671,1.302362,0.047213,-0.094607,0.896859,0.501019,0.463745,0.298960,0.306492,0.701040,0.693508,0.652430,-0.556834,0.036590,0.498077,0.446704,-0.138090,-0.075583,-0.048847,0.942620,-0.050940,1.342051,-0.016068,-0.010114,-0.013206,0.595966,0.708147,0.510338,0.583969,0.493421,0.269737,0.111842,0.080789,-0.178120,-0.111795,-0.267454,1.122498,0.353732,0.638456,0.385338,0.899575,-0.146389,0.042038,4.175752,-0.769231,6.000000,0.033717,1.280801,0.700515,5.386740,6.372549,1.427521,0.631136,0.138803,1.429038,1.331220,4.580000,3.924167,6.900000,8.402534,0.192506,0.069444,0.681991,3.778226,1.000000
8,1,2013,700,-0.018505,-0.021062,0.091461,0.190244,-0.019294,0.260606,0.248485,-0.021017,-0.019770,-0.019688,-0.020626,-0.050171,-0.063401,0.298807,-0.024816,0.092332,0.852224,0.077991,0.075568,0.742424,0.780749,0.257576,0.219251,0.578788,-0.347594,0.092291,0.922613,0.786273,-0.021241,-0.266667,-0.019674,0.952226,-0.048724,0.490191,0.047564,0.017979,0.248485,0.460470,0.453148,2.685714,2.349315,2.502041,2.469388,0.016327,0.017123,0.239559,0.228538,0.099686,0.977263,0.926224,0.072947,-0.212245,1.109129,1.251515,-0.082979,17.257143,-0.047619,0.046512,0.012121,0.020517,0.445190,2.620061,2.513120,2.246230,0.378195,0.353248,1.473555,1.419020,0.020000,0.018333,12.900000,0.890094,0.001536,-0.065055,1.345635,2.227299,1.014518
8,1,2012,700,-0.023042,-0.018417,0.072947,0.260606,-0.024016,0.160287,0.148325,-0.025895,-0.024619,-0.024514,-0.025671,-0.058268,-0.070656,0.304726,0.000000,0.080663,0.845988,0.073221,0.068176,0.811005,0.882265,0.188995,0.117735,0.145933,0.047690,0.085813,0.927536,0.784685,-0.026235,-0.265550,-0.023876,0.944940,-0.056383,0.513241,0.032979,0.013414,0.148325,0.486417,0.478250,2.106195,2.138514,2.073746,2.038348,0.017699,0.018581,0.199468,0.179255,0.088632,1.036842,0.910088,0.088736,0.227139,1.095856,0.897129,0.033535,12.713864,-0.047170,0.074627,0.011962,0.018672,0.471532,2.633053,2.969984,2.120745,0.406926,0.370745,1.522050,1.483600,0.030000,0.113333,12.300000,2.954568,0.015862,0.249542,1.439266,1.996101,1.024021
8,1,2011,700,0.028659,-0.022934,0.088736,0.160287,0.028352,0.675889,0.648221,0.030895,0.030688,0.030693,0.030364,0.048343,0.062853,0.328350,0.095103,0.065071,0.879434,0.063297,0.079890,1.000000,0.798755,0.000000,0.197095,0.304348,-0.319502,0.046233,0.937392,0.824374,0.019116,0.328063,0.018063,1.050799,0.046124,0.833448,0.090159,0.056020,0.648221,0.455091,0.766863,2.181818,2.649351,2.150198,2.110672,0.019763,0.083117,0.164376,0.174546,0.068862,1.077390,0.944940,0.054031,0.604743,1.074487,1.181818,0.292822,17.162055,0.011111,0.005848,0.003953,0.000000,0.752897,3.295290,3.566667,1.328202,0.621668,0.296317,1.406451,1.511580,0.220000,0.195000,11.300000,4.219903,0.080085,0.151835,1.151835,2.181925,1.043590
8,1,2010,700,0.085833,0.028659,0.054031,0.675889,0.085833,0.663755,0.637555,0.105156,0.091393,0.091393,0.091393,0.076384,0.102830,1.706924,0.265079,0.266667,0.627778,0.168675,0.208097,0.576419,0.326531,0.414847,0.668934,0.000000,0.000000,0.032625,0.840708,0.527778,0.099903,0.449782,0.081746,1.082701,0.073205,2.523767,0.103767,0.121667,0.637555,1.883534,1.998580,3.545455,6.270833,3.439394,3.030303,0.204545,1.083333,0.238806,0.269723,0.325897,1.092077,0.818254,0.163828,0.977273,1.423515,1.467249,-0.033654,8.530303,0.000000,0.000000,0.000000,0.092144,1.882274,3.006410,3.116279,0.531272,1.173478,0.303483,1.477377,1.472760,0.180000,0.200000,10.300000,2.438991,0.024457,-0.011877,1.000000,2.630467,0.998044
8,1,2009,700,0.087796,0.085833,0.163828,0.663755,0.087796,0.688679,0.660377,0.113895,0.092764,0.092166,0.092166,0.072109,0.098422,2.154267,0.205263,0.371053,0.617544,0.252648,0.169118,0.056604,0.204981,0.943396,0.766284,0.000000,0.000000,0.029326,0.762784,0.471053,0.107759,0.471698,0.087719,1.077713,0.068681,2.863324,0.096154,0.122915,0.660377,2.202723,2.379085,36.250000,9.009346,35.000000,13.500000,10.750000,3.252336,0.290522,0.294299,0.455819,1.026903,0.814035,0.082097,3.916667,1.602273,1.995283,0.080921,94.000000,0.000000,0.000000,0.000000,0.215517,2.217822,3.347126,3.020747,0.450893,1.278876,0.199863,1.406695,1.364090,0.550000,2.405833,6.800000,2.753202,0.003161,0.115528,1.012020,2.521749,0.989960
8,1,2008,700,0.154737,0.087796,0.082097,0.688679,0.154737,0.600000,0.558065,0.194831,0.172030,0.167617,0.167617,0.112439,0.193237,1.745098,0.076450,0.381371,0.535149,0.071048,0.045596,0.306452,0.373402,0.645161,0.511509,0.000000,0.000000,0.020586,0.934319,0.500000,0.177536,0.474194,0.129174,1.126683,0.109131,2.912432,0.128434,0.182105,0.558065,2.392540,2.791710,5.568421,5.719178,5.463158,0.852632,2.305263,2.472603,0.322197,0.255754,0.524155,1.032775,0.727592,0.099021,0.494737,1.688013,1.400000,2.670300,10.821053,0.000000,0.000000,0.000000,0.241546,2.529577,2.546314,3.226347,0.395323,1.417895,0.222717,1.337227,1.387310,5.770000,5.117500,5.600000,12.348720,0.146414,0.330241,0.907212,2.907131,1.055668
9,1,2013,700,0.015284,0.007823,0.285604,0.080169,0.015284,0.125571,0.118721,0.023140,0.017115,0.017122,0.017122,0.019048,0.023715,1.656523,0.000000,0.314202,0.628403,0.458880,0.448687,0.175799,0.315113,0.824201,0.684887,0.000000,0.000000,0.025081,0.549180,0.345107,0.022801,0.047945,0.015453,1.019417,0.017045,2.666667,0.042208,0.037846,0.118721,1.468415,1.470167,6.545455,3.534014,6.467532,1.584416,2.441558,1.360544,0.346591,0.302354,0.463626,0.999361,0.677704,0.213493,-0.012987,1.501171,0.974886,-0.174263,16.649351,0.000000,0.000000,0.000000,0.391965,1.442623,2.444444,2.371511,0.693182,0.896979,0.251623,1.473555,1.419020,0.020000,0.018333,12.900000,0.890094,0.001536,-0.065055,1.345635,2.227299,1.014518
9,1,2012,700,0.013991,0.015284,0.213493,0.125571,0.013991,0.137374,0.121212,0.021554,0.016927,0.016927,0.016927,0.017751,0.022167,1.800563,0.000000,0.228942,0.614831,0.438471,0.452607,0.438384,0.494229,0.561616,0.505771,0.000000,0.000000,0.027443,0.570258,0.350612,0.021253,0.038384,0.013679,1.018072,0.012735,3.229437,0.040214,0.044183,0.121212,1.782557,1.767773,2.465438,2.106157,2.447005,0.493088,0.976959,0.821656,0.213137,0.174598,0.355705,1.055655,0.643629,0.240442,0.428571,1.372365,0.642424,0.115097,5.400922,0.000000,0.000000,0.000000,0.310962,1.730858,2.788785,3.008065,0.577748,1.098675,0.213807,1.522050,1.483600,0.030000,0.113333,12.300000,2.954568,0.015862,0.249542,1.439266,1.996101,1.024021
9,1,2011,700,0.051730,0.013991,0.240442,0.137374,0.050247,0.237991,0.218341,0.081605,0.067022,0.067058,0.065136,0.044300,0.065891,1.973484,0.000000,0.152977,0.655614,0.466510,0.382560,0.554585,0.593783,0.445415,0.406217,0.000000,0.000000,0.026585,0.543678,0.356443,0.070196,0.133188,0.045968,1.046353,0.046936,3.047836,0.074738,0.082372,0.218341,1.572268,1.881857,1.799213,1.741877,1.728346,0.350394,0.688976,0.555957,0.151719,0.153587,0.233602,1.046235,0.654861,0.245660,0.275591,1.233333,0.443231,0.249300,4.224409,0.028571,0.018349,0.004367,0.234753,1.830369,2.927790,2.773057,0.546338,1.102596,0.197309,1.406451,1.511580,0.220000,0.195000,11.300000,4.219903,0.080085,0.151835,1.151835,2.181925,1.043590
9,1,2010,700,0.022953,0.051730,0.245660,0.237991,0.022953,0.128421,0.124211,0.036036,0.027990,0.028008,0.028008,0.021818,0.028504,1.985849,0.000000,0.188919,0.537693,0.257443,0.269398,0.631579,0.495690,0.368421,0.504310,0.000000,0.000000,0.034387,0.751689,0.404178,0.035144,0.046316,0.019982,1.022305,0.020542,2.565269,0.055089,0.061555,0.124211,1.875657,1.867480,1.693333,2.101449,1.086667,0.200000,0.443333,0.602899,0.194211,0.177404,0.332268,1.028854,0.568574,0.353306,0.116667,1.353041,0.437895,0.226804,2.670000,0.000000,0.000000,0.000000,0.279553,1.798489,2.108268,2.954483,0.556022,1.117954,0.180205,1.477377,1.472760,0.180000,0.200000,10.300000,2.438991,0.024457,-0.011877,1.000000,2.630467,0.998044
9,1,2009,700,0.024145,0.022953,0.353306,0.128421,0.024145,0.203620,0.194570,0.036145,0.029557,0.029581,0.029581,0.021299,0.029455,1.632446,-0.002451,0.210784,0.734069,0.281250,0.220138,0.203620,0.551515,0.796380,0.448485,0.000000,0.000000,0.027203,0.724541,0.531863,0.030252,0.081448,0.022059,1.021763,0.020619,2.218551,0.049255,0.057679,0.194570,1.515625,1.723593,4.822222,1.567766,4.711111,1.377778,1.666667,0.556777,0.197022,0.088774,0.289076,0.979678,0.729167,0.197031,-0.533333,1.287145,0.778281,0.256115,17.133333,0.000000,0.000000,0.000000,0.295798,1.644068,4.023041,4.079439,0.608247,1.171812,0.156930,1.406695,1.364090,0.550000,2.405833,6.800000,2.753202,0.003161,0.115528,1.012020,2.521749,0.989960
9,1,2008,700,0.024911,0.024145,0.197031,0.203620,0.024911,0.127737,0.116788,0.038835,0.036506,0.036601,0.036601,0.022193,0.030142,1.653417,-0.023704,-0.025185,0.685926,0.139588,0.184408,0.832117,0.885856,0.167883,0.114144,0.000000,0.000000,0.024032,0.868251,0.595556,0.034913,0.051095,0.020741,1.022697,0.020144,2.555147,0.046043,0.056940,0.116788,1.590389,2.083958,0.925439,1.123249,0.916667,0.241228,0.337719,0.481793,-0.024460,0.031655,-0.042394,1.178273,0.594074,0.329431,0.561404,0.965443,-0.062044,0.695122,1.960526,0.000000,0.000000,0.000000,0.114713,1.927878,3.293839,3.466334,0.518705,1.238859,0.189928,1.337227,1.387310,5.770000,5.117500,5.600000,12.348720,0.146414,0.330241,0.907212,2.907131,1.055668
9,1,2007,700,0.020487,0.024911,0.329431,0.127737,0.020487,0.162791,0.155039,0.028319,0.028319,0.028470,0.028470,0.021077,0.027692,2.836584,-0.053452,0.135857,0.574610,0.269565,0.329670,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.028708,0.759690,0.436526,0.025000,0.062016,0.017817,1.021531,0.019512,3.360656,0.048780,0.051216,0.155039,1.782609,2.252747,1.472868,1.643519,1.403101,-0.069767,0.736434,1.046296,0.148780,0.169512,0.190625,1.108225,0.712695,0.096045,0.387597,1.240310,0.472868,2.153846,2.480620,0.000000,0.000000,0.000000,0.000000,1.938534,2.157895,2.309859,0.515854,1.053985,0.209756,1.429038,1.331220,4.580000,3.924167,6.900000,8.402534,0.192506,0.069444,0.681991,3.778226,1.000000
10,1,2014,700,-0.019048,-0.044167,0.067439,0.071429,-0.019048,0.191489,0.205674,-0.022305,-0.022305,-0.022424,-0.022424,-0.029948,-0.035714,0.577149,-0.065299,-0.002799,0.867537,0.037778,0.030995,1.000000,1.000000,0.000000,0.000000,0.375887,-0.329193,0.063211,0.943011,0.818097,-0.022556,-0.148936,-0.019590,0.970923,-0.027379,0.861314,0.037810,0.026304,0.205674,0.852222,0.834149,0.978723,0.925466,0.872340,0.858156,0.007092,0.236025,-0.003911,-0.015645,-0.003222,0.882172,0.868470,0.130719,-0.815603,1.001075,-0.021277,0.359929,6.602837,0.000000,0.000000,0.000000,0.000000,0.808645,5.557971,5.147651,1.236636,0.698861,0.159061,1.474000,1.483000,0.020000,0.035000,11.400000,-1.418184,0.017866,-0.042470,1.288486,2.197621,1.018173
10,1,2013,700,-0.061313,-0.019048,0.130719,0.191489,-0.062112,-0.143646,-0.116022,-0.070922,-0.070010,-0.070122,-0.071138,-0.134039,-0.160338,0.384973,0.000000,-0.018535,0.853486,0.024494,0.014354,1.000000,1.000000,0.000000,0.000000,0.000000,0.128571,0.076205,0.958635,0.818182,-0.073529,-0.386740,-0.061783,0.881804,-0.122340,0.608743,-0.037234,-0.018634,-0.116022,0.600639,0.599681,0.883978,1.125000,0.883978,0.055249,0.414365,0.300000,-0.037234,0.031028,-0.022059,1.157317,0.840247,0.100189,0.712707,0.984488,-0.116022,-0.350978,5.259669,-0.013333,-0.038462,0.005525,0.000000,0.583549,3.525000,3.580952,1.713652,0.501779,0.150709,1.473555,1.419020,0.020000,0.018333,12.900000,0.890094,0.001536,-0.065055,1.345635,2.227299,1.014518
10,1,2012,700,-0.046482,-0.061224,0.100189,-0.143646,-0.050320,0.020202,0.010101,-0.056110,-0.051831,-0.051306,-0.056057,-0.072165,-0.085020,0.548876,-0.100803,0.049955,0.861731,0.004246,0.002080,1.000000,0.991736,0.000000,0.000000,0.181818,0.297521,0.057692,0.983437,0.847458,-0.057730,-0.595960,-0.052632,0.932692,-0.062140,0.905680,0.001151,0.000853,0.010101,0.922505,0.903796,1.565657,1.575000,1.565657,1.383838,0.090909,0.104167,0.064442,0.079402,0.054795,1.045198,0.911686,0.080935,0.484848,1.057971,0.565657,-0.075532,10.323232,-0.086207,-1.250000,0.050505,0.000000,0.883579,5.606452,4.597884,1.131761,0.741151,0.168009,1.522050,1.483600,0.030000,0.113333,12.300000,2.954568,0.015862,0.249542,1.439266,1.996101,1.024021
10,1,2011,700,-0.048780,-0.046055,0.080935,0.020202,-0.055862,-0.069930,-0.125874,-0.063592,-0.055531,-0.054440,-0.063365,-0.077577,-0.091364,0.707111,-0.034314,0.066993,0.817810,0.000000,0.001026,0.986014,0.967638,0.000000,0.000000,0.377622,0.258900,0.052268,0.993007,0.812092,-0.065680,-0.496503,-0.058007,0.928008,-0.064894,0.965588,-0.019149,-0.014162,-0.125874,0.958206,0.964597,1.581560,1.846154,1.581560,1.354610,0.113475,0.073579,0.087234,0.134574,0.075856,1.094812,0.883170,0.105132,0.751773,1.079920,0.573427,0.374269,7.666667,-0.158730,-1.000000,0.069930,0.000000,0.945674,4.215247,3.405797,1.057447,0.740157,0.220213,1.406451,1.511580,0.220000,0.195000,11.300000,4.219903,0.080085,0.151835,1.151835,2.181925,1.043590
